Component,Origin,License,Copyright
github.com/klauspost/compress,https://github.com/klauspost/compress,BSD-3-Clause,Copyright (c) 2012 The Go Authors. Copyright (c) 2019 Klaus Post
github.com/olekukonko/tablewriter,https://github.com/olekukonko/tablewriter,MIT,Copyright (C) 2014 by Oleku Konko
github.com/pierrec/lz4/v4,https://github.com/pierrec/lz4,BSD-3-Clause,Copyright (c) 2015 Pierre Curto
github.com/spf13/cobra,https://github.com/spf13/cobra,Apache-2.0,Copyright 2013-2023 The Cobra Authors
github.com/spf13/pflag,https://github.com/spf13/pflag,BSD-3-Clause,Copyright (c) 2012 Alex Ogier. Copyright (c) 2012 The Go Authors
golang.org/x/sys,https://github.com/golang/sys,BSD-3-Clause,Copyright (c) 2009 The Go Authors
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml,MIT,Copyright (c) 2006-2011 Kirill Simonov. Copyright (c) 2011-2019 Canonical Ltd
github.com/clipperhouse/displaywidth,https://github.com/clipperhouse/displaywidth,MIT,Copyright (c) 2021 Matt Sherman
github.com/clipperhouse/stringish,https://github.com/clipperhouse/stringish,MIT,Copyright (c) 2024 Matt Sherman
github.com/clipperhouse/uax29/v2,https://github.com/clipperhouse/uax29,MIT,Copyright (c) 2021 Matt Sherman
github.com/fatih/color,https://github.com/fatih/color,MIT,Copyright (c) 2013 Fatih Arslan
github.com/inconshreveable/mousetrap,https://github.com/inconshreveable/mousetrap,Apache-2.0,Copyright 2014 Alan Shreve
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable,MIT,Copyright (c) 2016 Yasuhiro Matsumoto
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty,MIT,Copyright (c) Yasuhiro Matsumoto
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth,MIT,Copyright (c) 2016 Yasuhiro Matsumoto
github.com/olekukonko/cat,https://github.com/olekukonko/cat,MIT,Copyright (C) 2014 by Oleku Konko
github.com/olekukonko/errors,https://github.com/olekukonko/errors,MIT,Copyright (C) 2014 by Oleku Konko
github.com/olekukonko/ll,https://github.com/olekukonko/ll,MIT,Copyright (C) 2014 by Oleku Konko
